Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify the Shipping 'Date End' field with future dates,UN-93,10118,Test,blocked,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 7:32 AM,07/Sep/21 10:48 AM,08/Sep/21 10:29 AM,,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-92,UN-49,,,,,,,,,,,{},,,,,,,0|i00093:y,,UN Sprint 1,,,,,,,,In Progress
Verify the Tax 'Date End' field with future dates,UN-92,10117,Test,blocked,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 7:30 AM,07/Sep/21 10:27 AM,09/Sep/21 5:04 AM,,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-91,UN-26,,,,,,,,,,,{},,,,,,,0|i00094:o,,UN Sprint 1,,,,,,,,In Progress
Verify the Orders 'Date End' field with future dates,UN-91,10116,Test,blocked,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 7:29 AM,07/Sep/21 10:28 AM,09/Sep/21 3:01 AM,,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-44,UN-3,,,,,,,,,,,{},,,,,,,0|i00094:r,,UN Sprint 1,,,,,,,,In Progress
"In Shipping section, when previous button is clicked, it must redirect to the previous page",UN-90,10115,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 6:57 AM,07/Sep/21 11:25 AM,09/Sep/21 5:04 AM,07/Sep/21 11:25 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-86,UN-78,,,,,,,,,,,{},,,,,,,0|i00094:m,,UN Sprint 1,,,,,,,,In Progress
"In Shipping section's pagination, on the last page the next button must be disabled",UN-89,10114,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 6:55 AM,07/Sep/21 11:28 AM,09/Sep/21 5:04 AM,07/Sep/21 11:28 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-85,UN-78,,,,,,,,,,,{},,,,,,,0|i00093:x,,UN Sprint 1,,,,,,,,In Progress
"In Shipping section's pagination, on the first page the previous button must be disabled",UN-88,10113,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 6:49 AM,07/Sep/21 11:25 AM,09/Sep/21 5:04 AM,07/Sep/21 11:25 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-84,UN-78,,,,,,,,,,,{},,,,,,,0|i00093:v,,UN Sprint 1,,,,,,,,In Progress
"In Shipping section, when next button is clicked, it must redirect to the next page",UN-87,10112,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 6:45 AM,07/Sep/21 11:27 AM,09/Sep/21 5:04 AM,07/Sep/21 11:27 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-83,UN-78,,,,,,,,,,,{},,,,,,,0|i0008z:,,UN Sprint 1,,,,,,,,In Progress
"In Tax section, when previous button is clicked, it must redirect to the previous page",UN-86,10111,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 6:12 AM,07/Sep/21 11:27 AM,08/Sep/21 5:17 AM,07/Sep/21 11:27 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-82,UN-77,,,,,,,,,,,{},,,,,,,0|i00094:9,,UN Sprint 1,,,,,,,,In Progress
"In Tax section's pagination, on the last page the next button must be disabled",UN-85,10110,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 6:09 AM,07/Sep/21 11:25 AM,08/Sep/21 5:18 AM,07/Sep/21 11:25 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-81,UN-77,,,,,,,,,,,{},,,,,,,0|i00093:m,,UN Sprint 1,,,,,,,,In Progress
"In Tax section's pagination, on the first page the previous button must be disabled",UN-84,10109,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 6:07 AM,07/Sep/21 11:25 AM,08/Sep/21 5:17 AM,07/Sep/21 11:25 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-80,UN-77,,,,,,,,,,,{},,,,,,,0|i00094:i,,UN Sprint 1,,,,,,,,In Progress
